%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5
1407778114450852468,228,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-3.14145150605,-1.75744716759,0.542106546752,-0.854027824689,1.28760589649,3.02787620768
1407778114550973883,229,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,3.07192036473,-1.75744716759,0.542106546752,-0.854027824689,1.28760589649,3.02787620768
1407778114650965456,230,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,3.00385263043,-1.75744716759,0.542106546752,-0.854027824689,1.28760589649,3.02787620768
1407778114751011850,231,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.93403919403,-1.75744716759,0.542106546752,-0.854027824689,1.28760589649,3.02787620768
1407778114850823114,232,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.86422575764,-1.75744716759,0.542106546752,-0.85664571204,1.28760589649,3.02787620768
1407778114950927401,233,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.79615775702,-1.75744716759,0.542106546752,-0.854027824689,1.28760589649,3.02787620768
1407778115050953780,234,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.7280897564,-1.75744716759,0.542106546752,-0.854027824689,1.28760589649,3.02787620768
1407778115152778264,235,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.65827632001,-1.75744716759,0.542106546752,-0.854027824689,1.28760589649,3.02787620768
1407778115254760338,236,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.58148140681,-1.75744716759,0.542106546752,-0.854027824689,1.28760589649,3.02787620768
1407778115350987292,237,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.52039594826,-1.75744716759,0.542106546752,-0.85664571204,1.28760589649,3.02787620768
1407778115450802713,238,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.45058384344,-1.75744716759,0.542106546752,-0.85664571204,1.28760589649,3.02787620768
1407778115550824380,239,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.38077173863,-1.75744716759,0.542106546752,-0.854027824689,1.28760589649,3.02787620768
1407778115651876740,240,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.31270480328,-1.75744716759,0.542106546752,-0.854027824689,1.28760589649,3.02787620768
1407778115760950689,241,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.24463813424,-1.75744716759,0.542106546752,-0.85664571204,1.28760589649,3.02787620768
1407778115850854728,242,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,2.21671329231,-1.76268347492,0.536870638891,-0.864499374095,1.27451579394,3.01740412564
